,stars,text,sentimentScore
41424,1,Not impressed at all. It took them 15 minutes to seat my party for breakfast. They were busy but not that busy. Once we ordered we waited a little over 45 minutes for our food. That is absolutely ridiculous to wait that long for a dinner order let alone a breakfast order. The food wasn't even that good either. I will not be going back here.,0
2537426,1,"Happened upon the awful staff at Chad's and was so appalled that I had to write a review. If they treat their bar/restaurant customers as well as they treat well-meaning passers-by, they won't be in business long. 

Chad's is located in a dingy, ugly strip mall with inadequate parking for the number of little shops that line the strip. I was there for another business and a spot in front of Chad's was open with no sign to indicate that it was reserved for their customers. Two of Chad's employees were outside and although there were other spots open in the lot still, they asked me to move my car to the parking lot across the street to make room for all their customers (not a single Chad's customer in sight might I add on a Friday night). 

The female employee was normal about it, but the male employee (who looked kind of like the guy from Clerks, but uglier, meaner) was incredibly rude! And I said so. Well he went off at me. ""You F*@kin' b!t@h, I'll say it however I want to. I'll $h!t on your car!"" Seriously, he said he would defecate on my vehicle. WTF.

I would never, ever eat at Chad's and I hope that tool loses his job over this review.",0
6847144,1,"This place has changed. It was alot better last year. Wouldn't recommend. Unfriendly staff, especially the blonde one. Seemed messy and unorganized. Food is less than decent quality.",0
5694622,1,"Terrible nails salon don't waste your money 
She rushed sanding my nails to the point that it literally hurt she  as being so rough !!!  my acrylic nails are all different lengths and shapes .. she loaded on the coats on polish and sent me on my way with in 5 mins of being polished .. the polish was so thick and globbed on literally came right off  in my car ... I'm so disappointed considering I got my nails done because I just got engaged and plan on seeing friends and family and an upcoming party and showing them off ..... so now I'll have to re file and paint them myself at home to somewhat fix this !!! IM NEVER GOING HERE AGAIN !!!",0
5025028,2,"Far too loud for any conversation. They see fit to allow children to wander around. If that isn't your scene - it certainly isn't mine - I'd avoid this place. The menu is fairly inventive. However, if you have any dietary restrictions or food allergies, I wouldn't take the chance at having a meal here. I asked the waitress a few questions about certain items. She either mentioned way more ingredients than were listed in the menu or had no idea how the dish was prepared. The interior is just as kitschy as the exterior, continuing on with their submarine theme. If you're really jonesin' to eat in a loud submarine, look no farther. If you want to be able to hear the people you're with, eat in peace, and know for certain that you won't wind up in a hospital, avoid them like... well... the plague.",0
5247120,1,"Horrible experience with the owner/manager when I went in to use a BOGO coupon I received in an email, the email  stated the coupon had to be printed for use in specific stores- this was not one of them. At check out she said that it had to be printed out, in a condescending tone she said if I had told her before she started my order she would have stated that from the beginning. There were other people in the store and she was the only one there so I didn't want to be that person holding it up.  In the end the coupon was useless, I submitted a complaint to corporate which went nowhere, and I over paid for sub par ice cream.",0
2064794,1,"The absolute worst staff of anywhere I have eaten in 30 years. The ""I hate my job and don't care about serving customers"" look and attitude from the workers is glaringly obvious. As others have mentioned, they are constantly out of items on the line and don't seem to care. There seems to be lots of people employed but rarely more than 1 person making food for those dining in causing long lines that don't move and numerous people waiting for call in orders standing around pissed off because this place can't get the food out. Save yourself the aggravation and go elsewhere! This place needs corporate to come in, fire everyone including the manager who apparently doesn't know how to hire good workers or staff for peak times. If this is franchised, the person should be stripped of this store. Either fix it or close it down as it is ruining your brand which at other locations is good.",0
4599331,1,We had a flyer in our hotel saying that they were open until 1am but we were told they were closed when we called at 11 pm.  They took the order after we told them about the flyer.  It finally came after 1am. Wish they would have just said that they were closed. Incomplete order and a burned crust for a pizza.,0
1920976,2,"Really liked this place the first two times I came. Food, drinks and ambience were awesome. However, the third time we came on a Saturday night around 8pm. The place was half empty. The hostess said they were booked and couldn't fit us in. I pointed out that clearly the place is empty. I've been around the night life long enough to know what they're trying to accomplish in terms of being ""exclusive"". Despite her saying she couldn't accommodate us, we sat ourselves at the bar when a couple got up. We were there for two hours. The place was still empty when we left.",0
4685014,2,No point in mobile ordering when you wait over  20 minutes anyway. This place has been a total mess for a few months in the morning. C'mon people.,0
4614947,1,"BATE and SWITCH owner, Steve Patterson. Beware. Comparable units in same bldg are @600 dollars less. Look at HomeAwau and even on Airbnb.",0
1883828,2,"We had the crab claws and stuffed mushroom appetizers. In my opinion the crab claws were probably the only decent thing we had. Neither of the 6 of us cared for the mushrooms. We also got chargrilled oysters that were small and not worth $20 at all. For entrees we ordered the seafood boiling pot, shrimp boiling pot, rib eye, fried seafood platter, oyster pasta, and the soup trio. ALL of our entrees lacked so much flavor. My friend probably took 2 bites of her pasta and pushed it aside. The seafood platter was room temperature and just overall mediocre. My friend hated the soup trio and said it tasted nothing like jambalaya, etoufee, or red beans. The boiling pots lacked so much flavor that we expected since we are in New Orleans.. AND they were supposed to come with corn, which we never got. And when I asked my server if it was supposed to come with it she said yes but we probably ran out since it's the end of the night. It would have been nice to have been offered a substitution or be told they were out to begin with. They probably hoped we wouldn't notice. And the rib eye was just ok. We didn't even want to order dessert for our friends birthday. Would probably never come here again since we paid almost $400 for a meal we all werent the least bit satisfied with. And for $400 we never even got a single drink refill. Save your money and go elsewhere. WOULDNT RECOMMEND TO ANYONE",0
6358444,2,"I am so disappointed with Yard House. Tonight was my first time there. My son and I came about 6:45. We had a 20 min. wait but we didn't mind. We were seated in a very nice, open dining area and I liked the atmosphere. 
I tried a pineapple cocktail, a sort of mojito. It was pricey at $10.25 but delicious. I thought it was a good start. 
I ordered 2 ala carte tacos. I told our waitress,Michelle, that I don't eat spicy foods at all. She told me that what I ordered was fine if they left off sauces. The first taco, the 'vampire' was very spicy anyway and I couldn't eat it so she brought me a second carnitas taco. It was good, nothing special,but good. I subbed the truffle fries for the rice and beans for an additional dollar. They were awful!!
Frozen shoestring fries with an oily topping that was truffle oil, I assume. It's an hour+ later and I'm still trying to get the oily taste out of my mouth. I was really hungry so I ate them even though they were terrible. And they charge $5.45 on the menu for this frozen mess. My son had the BBQ chicken salad and he enjoyed it. Maybe if I had gotten something different...  
On the plus side, the ambience was nice and our server, Michelle was wonderful.",0
3840981,1,"Worthless. Totally unorganized, impossible to find someone who knows what they're talking about, endless frustration. Stay away.",0
5287380,1,"I've been to mad donnas 3 times and I will say they are consistent. Unfortunately it is consistently bad. They have .99 cent tacos on Mondays with $5 margaritas. Sounds good right? Well they need to change the name to 99 minute tacos as it took an hour and a half to get our tacos out. The drinks are all over the place and the margaritas taste different each time. 
We've tried the burgers and wings and neither warrant a second chance. Patio is only good thing about this place even if it looks rather sterile. 
Just not worth it even though I live in the neighborhood.",0
2134138,1,"I stopped by for a pre-vacation pedicure after shopping at Target. I was seated immediately, which was nice. So immediately, however, that I forgot to get a magazine. I was handed over to a nice older gentleman, and I tried to ask for one, but he spoke no English, so I was met with a blank (not unkind, just blank) stare. There was a huge ladder in the middle of the floor, apparently to repair something in the ceiling. Could this not wait until closing? Odd.
So we begin. The water was freezing cold, and he did not let me soak my feet for 30 seconds.  Not kiddng--NO SOAKING. This is significant, because he immediately set in with that scary cheese grater thing. He must've sanded floors or participated in whittling contests in the past, because this is what he did to my feet. No amount of flinching or painful exclamations slowed him down. He was determined. Granted, my feet are dreadful from running. I tried to tell him to leave some skin on (not joking!) because I can't run or walk when they're whittled down to bare bone. Again, no evidence of comprehension. 
When he had drawn blood on the left heel, he decided he was finished. Next, he trotted out the cuticle scissors. I've never had them used on my toes, and don't have manicures because of bad experiences with those nasty instruments of torture. I shook my head, but, again, nothing.  A normal person would've walked out at that point, but I wasn't sure I could, given the skinning my heels had just endured. 
So he cuts and pushes REALLY hard with some sharp instrument into my cuticles for what seemed an hour. I couldn't watch at that point. Other employees kept coming by and looking at my feet, then looking at him and making comments in a language I don't understand. This was not comforting. I had paid extra for exfoliation, so you can guess what came next. Shards of glass being pushed with the full body weight of a grown man into my lower legs, as if he were scrubbing a really dirty floor. I flinched and cringed and gritted my teeth. Hot towels were then placed on the open wounds, then it was time for polish. He seemed nervous, bless him, and redid my big toe three times. Three. He then rushed me out of the seat to the dryer and I nicked the big toe in the sprint. I wasn't about to ask him to fix it, so I let it go. After the drying, I shuffled, in the salon-issue, hot pink paper thin sandals, to my car, parked waaaayy too far away. And get this:  I had forgotten my keys and had to shuffle back in there---aaaggghhhhh!!! I walked the dogs this morning with 4 band-aids over the tender spots. No more Viva Nails for this over exfoliated woman!",0
4178209,1,Awful . They took the order and then just lost the order. 1 hr later. I have no pizza. I am now starving . Last bit of energy writing this yelp review .... Dying ... No pizza .. Sooooo hungry ... Must call papa johns ...,0
6834466,1,"I'm shocked to learn that this many people like this place.  The owner is rude and he treats his employees terribly.  The service is horrible and overpriced, they try to make it relaxing, but between the owner yelling at his employees and all the snotty nail techs judging every person in the salon, it is anything but relaxing.  This place is awful, go to Euphoria Nail Bar across the street, it's as clean and the people are lovely.",0
6283890,2,"Beware of the membership cancellation terms.

I've gone to this location for at least 2 years. Until recently, I did see a couple therapists regularly that are excellent workers. Unfortunately, the schedule has become more booked for the young lady I was seeing regularly in recent months. So, I decided to schedule with a different therapist a few months ago, who twice had to cancel my sessions due to illness or other personal reasons. Eventually, I had a massage booked early October, which was of mediocre quality.

After all that, I decided to cancel my membership. Members are charged automatically each month regardless if a session is booked. I'm told that there are 3.5 hours of credit on my account. According to company policy, unused credits are nonrefundable. Even after explaining scheduling conflicts, and a half-hearted massage session, the company won't refund my account credit in any form. Since credits are only good for massage sessions, and can't be used for tipping therapists, I'd rather cut my losses.

There are some good workers at this location.  Until my last massage a month ago, I've had some great sessions here.  However, the no refund policy for unused funds is ridiculous and unjust. I recently filed a complaint with the Better Business Bureau as well, in the small hope that makes a difference and I can get my account funds back.",0
1960359,1,"Save yourself time and aggravation and stay far far away from here. This place is completely unprofessional and disrespectful of their clients' time. My first appointment took a total of two hours, most of which was waiting around. I was not seen until almost 30 minutes after my appointment time. I was told to return for a follow up the next week and after waiting for 20 minutes was told that Dr. Daphne Richardson had not even arrived at work yet and there was someone else ahead of me. Not only that, but the person who checked me out on my first appointment tried to charge me for the eye exam, which is covered by my insurance. She had a very hard time figuring out how to do what I assume is her job. This is after I paid an extra $165 for an additional service I was not counting on. Also, the glasses that I received on the prescription I was given are not correct. I can't use them. I have no faith in Dr. Richardson or in any of her staff.",0
1755871,2,"Check your carry out order.  This Chick-fil-A sometimes messes up your carry out order.  I drove with my kids 20 minutes to this Chick-fil-A.  We took our food home to eat while we watched a movie.  Chick-fil-A had omitted a $9 salad.  I called them.  They told me the salad would be ready when I got there since everyone at home wanted to wait so we could eat together.  When I got there, they didn't have it ready...they had to go back and make one.  So frustrated.  For the drive and waiting time, it ended up being a 50 minute experience.  The compensation was a coupon for a free sandwich.  So frustrated!",0
535799,2,"I stood at the counter in an otherwise empty restaurant for nearly 5 minutes before the 2 staff members stopped chatting and decided to acknowledge me.  ""Have you decided what you want to order?""  Yes, that was actually decided BEFORE I walked up to the cash register and stood there (for what felt like forever) like an awkward wallflower waiting for a prom date who isn't coming.  I ordered a bowl with rice and chickpeas and asked if it had cheese on it.  I was asked if I wanted chicken.  I repeated my cheese question and was again asked if I wanted protein.  I replied ""No protein.  Is there cheese on the salad?""  She replied by adding cheese to my order, which I did not want.  When all was said and done I paid over $10 for a sad but healthy little salad with barely 1/4 cup of rice and a sprinkling of chickpeas.  In the time it took to order and receive my order I could have walked across the street to Pizza Hut and ordered their special of the day, a medium Supreme Lovers pizza...also priced at $10.  Sure, I'd be a little fatter but I'd also be happy, full and not writing this review.

PS - this is not a one time customer service issue...the last time I was here the staff handed me my soup to go UPSIDE DOWN.",0
6925513,1,"They are charging me for a service where they came out to my house and didn't knock on the door to tell me they were here, I was moving my back yard and my wife
Was in the house, but yet somehow they treated my house for roaches from the outside and they want to charge me $80 for it. I ask what could he have done from the outside that I could have not seen him? She says sweep, ugh bye, you won't get my money",0
6569129,2,"Pee Wee is a really nice guy but I didn't care for his crab balls. I thought they were mushy, the sauce too sweet and otherwise lacking in flavor",0
3357259,1,"am new to the area, and thought I would give this place a try. Boy, was I wrong. Here are the reasons why I am giving this place a one star. First, I walked in the door. The place is small, not the cleanest and a bit ghetto. The owner then just said""hi it'll be a 40 minute wait"". I said no problem. None of the employees or owner gave me a box to choose my colors from. Again, it was my first time so I wasn't sure where where the gel polish were. I sat there for 20 mins wondering if they would hand me something to choose my colors from. Nope, I had to ask a customer next to me. Second, my gel nails didn't turn out that great. When I was finished the tip of my nails looked faded.  Also, after a few days my gel nails started to peel off!!!!. I was a so unhappy with the results. I should've just went to the place I normally go to. I wish I can attach a picture to show how my gel nails turned out after a few days. Horrible!!!!. Never again will I come back.",0
3109200,1,"The first time I came here for dinner, it was not very good. The food is pricey for Mexican, the server rushed us through our meal and the burrito was very basic compared to ones at Juan's Flying Burrito. The only things the place had going for it were the 18 oz Dos Equis draft for $4 and the salsa. I'm here now for lunch even though I swore never to return.  The only spot without a wait was at the bar, but I think we would have done much better waiting the 20 minutes for a regular table. For one, you don't get the free chips and salsa here like you do at a table. And secondly, we were there over 45 minutes before our food ever came.  I will say the burrito I got this time was much better than the one I had during my previous visit.  It had grilled shrimp and pineapple, but that was the only good part about it.  Save yourself time and money and go somewhere else.",0
6718415,1,"I will tell you now that this franchise is a disgrace. I typically do not post bad reviews, but feel obligated to warn people about this place. I called to place an order for pick up at 7:30pm on 12/13/2015. The person who took my order gave me a total that was well above what the total should have been. I was looking at their current prices on their menu on GrubHub, and was about to order online, but decided to call it in instead. I placed my order and he gave me the final total, it was significantly higher than what it should have been. 

When I called back and began pointing out the 35% difference in pricing, he proceeded to tell me that GrubHub prices were wrong, and then thanked me for pointing it out. He then sarcastically told me that he would charge me the exact same price, regardless of me pointing out the error. When I told him that it did not seem fair, and that I would like to cancel my order, he proceeded to rudely hang up on me. 

This franchise does not value its customers and clearly needs a lesson in etiquette. Luckily now I can cross them off my list of places to eat in Newtown.",0
4008014,1,Worst customer service. They act like it's an inconvenience you're even a customer. Every time I have gone here they have messed up my order. Whether it's not the right order or an incomplete order they will attempt to rush you out of the drive thru when all you're trying to do is get what you ordered.,0
2204540,1,"I wish I could give it NO stars. Service was horrible. Our server was Jennifer. She was totally frazzled and we tried not to pay it much mind. But when we waited an hour for our food and the party that came after us was eating before us, I knew it was going to be an issue. We ate planning on playing games, so we ordered the eat and play combos. Well. What NO ONE decided to tell us is that the system was down that loads the power cards. Needless to say, we were pissed. Jennifer have us some discount cards where if we spent 20 bucks, we would get 20 off and hurried off to charge our cards. Well, as soon as I saw a manager, I called him over AND HE IGNORED ME. I found out later that his name was Eric. Well, he said he took 20 bucks off of our bill and canceled the previous transaction. Nope. He charged me twice and not only that, they didn't separate the checks properly. I was charged for two cranberry juices, we only drank one. I was also charged for the other parties kids drink. I mean, come on!!! I found out later that the system crashed shortly before we got there so they had plenty of time to notify us of the issue but chose not to. Honestly, I used to come here a lot years ago, but they will not get my business ever again if this is what I have to look forward to. I could've done without the discount cards and the 20 bucks off of the bill if I just would've had someone competent enough to be thoughtful and polite. Never, ever, ever again. I will be calling corporate because as a person who has worked in the service industry, my experience was unacceptable.",0
3048120,1,"Went there for a company Christmas party. Don't even know where to start. The food was possibly the worst I have ever experienced. Salad - dry, brown, wilted and warm. Rolls - hard as a rock. Vegetables mix of Broccoli,carrots - dry, uncooked, too tough to chew and no butter or seasonings, terrible. Potatos mashed - no doubt from a box, no flavor. Roast beef - aha they can cook something after all. Drinks - Vodka Cranberry was all ice, no booze and very little Cranberry $6, Beer $5 for a 16 oz and it was warm. Nowhere in Boise,Nampa or Meridian is a 16 oz domestic beer $5, hell not even in Chicago Denver etc. It was a bad experience all the way around",0
766080,1,"I have no idea why anyone would give this place a positive rating. 
After a booze fueled weekend at the Marriott  waterside we decided to end the weekend with a fine dining experience that Sunday night. 
The Jackson has a beautiful layout and great view. That's about it. 
The ginormous menu should have been a red flag but I'll give anyplace a try. 
Our waiter was either brand new or off his meds because the service was terrible. Didn't bring the appetizers we ordered and didn't tell us when items were out in the kitchen. Second red flag. 
I don't mind paying great money for great food but the two lifeless flavorless sushi rolls I ordered were not worth it. 
The Jackson needs to decide wether it wants to be a great restaurant or stay as a nightclub that serves shitty food during the day. 
Save your time, money and effort and go elsewhere.",0
6381092,1,I got the strawberry waffle and I found a long dark hair in it.  They were good about replacing and the waffle was good.  My husband's  meal had cold dry pancakes but the rest was ok. This place offers quick fair food but nothing outstanding.  The service was slow and inattentive.  I'm not looking to go back.,0
1722165,2,"My boyfriend and I grabbed an early lunch here today. He ordered the brisket sandwich and I had the pasta special... which was indeed quite ""special"".  The waiter advertised the pasta as penne with Irish sausage, basil, roasted tomatoes and a lemony cream sauce.  What I got was inedible, slimy sausage with the consistency of vienna sausage and a just-about-to-turn sort of flavor with asparagus, summer squash, capers and green onions in a flavorless alfredo sauce. While the roasted asparagus pieces and squash were pretty good and I did enjoy the capers, this dish was not even close to what the waiter said  it would be.  About half way through picking around the disgusting sausage, I was surprised to chomp down on a chard of bone about the size of half a penny.  Thank goodness I have strong teeth and an even stronger stomach.  

My boyfriend enjoyed his sandwich well enough after picking large hunks of congealed fat from it.  

The staff was really nice.

It wasn't worth the $30 we spent.  I don't think the boyfriend will be able to convince me to go back.",0
2411451,2,"My husband and I went on the Friendly Planet Thailand tour in 2007; the tour was okay, but I must share the negative experience we've had with the ""teak"" furniture we purchased at Chiangmai Sudaluck Company, Ltd., one of the stops on the way to northern Thailand.  We purchased 4 ""teak"" chairs, 4 foot stools and 2 tables, paying over $7,000, and had them shipped back home. The furniture had a heavy stain on them.  Over the past year, the stain has worn (expected) - what wasn't expected is what we discovered as far as the wood - yes, just wood.  Not even hardwood, let alone teak.  The footstools are rotting - proof positive that it's not teak.  We had a wood expert come and look at them; he confirmed the wood isn't even hardwood, let alone the teak we paid for.  Perhaps the furniture in the showroom is teak; the product we received is not.   I contacted Friendly Planet, and they said it's up to local guides where they take tourists.  So beware!   If you take the tour and stop at Chiangmai Sudaluck Company, just look - don't be suckered into wasting your hard earned $$ on junk.",0
2585095,2,"Went in for my birthday with my son on Monday. Along with many other customers never got a hello or good morning just ""how many"" and ""what would like to drink"" hmmmm. Our waitress was very nice to us smiled a lot but didn't get our order right, I asked for orange juice and got apple. Food took awhile and I had to find another server for a box and check because ours was on break. What truly left a disgusting taste in my mouth was the bathroom it smelled like a bad sewer line which they knew because they left the door propped open I thought I was going to throw up!!! Then I look up above me and see this... right about my food. This place needs to be dusted ASAP! Not good not good at all",0
6010488,2,"They were recently at a 'Food trucks in the park' event. I always like to try something I haven't had before, so their turkey BLT sounded decent and that's what I ordered. In the process I also saw that they had baked beans. I really enjoy tasting homemade baked beans, so after inquiring if the beans were made by them, and they responded 'yes' I ordered those too. In the end the sandwich was just 'ok' but the big reason they only got two stars was that they served canned baked beans and they weren't 'homemade' as they had stated - it's pretty easy to know when you taste a can of baked beans. I think it's important that people are up front about the food they serve.",0
595911,1,"RIDICULOUS!!! Manager here so sad young girl with tattoo on her arm that also happens to be a straight liar, as a manager at another fast food place we all know it gets busy. Her 1 front register froze the other one was still working it wasn't black or blue like they usually look when they're down like the one that was actually broken did she told us the system was down but asked us to order on the kiosk ? Is that not the same system ? Also was very rude to woman taking our order when she was just trying to explain that the register had frozen",0
602289,1,"absolutely dissatisfied with service's at CHOP. My eighteen month old baby had a fever of 105 for a week.  In that week I brought her to CHOP twice on seperates days and was sent home both days. Well, I was told there was nothing they could do, 105 was normal, and just keep her hydrated at home. Maybe a witch doctor would have been a wiser choice. Anyway, So long CHOP, they do Not have to worry about my business there anymore and quite frankly I don't think they cared to serve us anyway. Kudos to them!",0
1998791,1,Went there a week ago because it was an emergency. I had an event to go to and I needed a nail salon on that side of town. I WILL NEVER GO BACK!!!!! $90 for a full set abs rhinestones on two fingers. She attempted to charge more than that and I just refused. Nail tech was rude and my nails were done HORRIBLY for $90. They are already lifting and they weren't filed correctly at all. They're Covid practices are terrible. Cushy ask me to wash my hands and she wasn't about to wash her until I asked. Don't waste your money......,0
1559742,2,"First off, always 5-stars for the food. And most of the time we visit here there isn't really ever a problem. Most recent visit had us waiting for over 30 minutes for a table, which is not uncommon; however, their system lost our name to seat us. This  then caused us to not be seated for a long time. I don't know for sure if it was the texting system or not, but that's what we were told.",0
2857190,1,I have never been compelled to write a review before but I feel this has to be done. The whole experience was a nightmare. The service were very rude when we asked for attention. I will never come back. Worst service ever!,0
5859582,1,ordered a strawberry greent tea infusion this morning，i would said it is the worst drink i have tried in my life so far. it is simply just water with little green tea flavor,0
6196442,1,"Worst company ever! We had the system installed for a customer. The alarm center continues to bill BOTH the customer AND the General contractor for services every month. EVERY SINGLE MONTH we call and explain that they are correctly billing the service address, but should not be billing us, the General contractor. They are double billing. Every single month they reverse the charge to us but then bill us again the next month. They have our credit card, so I had to cancel our cards to stop the payments that they were double billing. Now they are sending me paper bills! To be clear, they also bill the customer for monthly service, AND bill us for monthly service!!!! There is no outstanding payment due, they just have a horrible accounting department. They apologize every month, then do it again. So frustrating.",0
3016783,1,"They have a 20.00 per person cover if you aren't staying at the hotel. I can totally understand that for late night but not for happy hour. That's asking a couple to spend 40.00 before ever buying anything. I was okay with a 20.00 minimum purchase but I think the cover is just greedy. We walked away once we were informed and I won't be back. Also, they need to update their signs and website to reflect their change. We walked all the way there and were not informed until we attempted to get it. Very unfortunate because I had heard good things. As bad as I wanted a drink there, I would rather spend my money elsewhere.",0
2655137,2,I use to like going to this facility. They are still a pretty good indoor shooting facility but I was trying to use the military discount and they were a little weird about it. I even had a few interesting comments about breaking my bank for using the military discount. If you go to the range every couple of days or so and purchase ammo at your location I wouldn't say things like that. I would say the staff needs training in customer service especially about not alienating your customs. I wished I didn't have to lower my rating for this place because I was starting to like this facility. But those to times I went in there I was made to feel like I don't rate a military discount and for that I will not come back to this place. Also I wasn't very sure if it was active duty military or veteran. Now it wasn't very specific. Anyways just disappointed in the situation. In the future there should a better way to handle that situation. I feel like the cashier did not handle it well. It just made me feel awkward and unappreciated. Also by no means do I want a hand out but I usually ask for military discounts. Especially if they post it on a sign because I am a veteran. Well thanks for reading my review I hope this helps.,0
