,id,meanSentimentRating,textSnippet,sentimentScore
103,10_7,-0.95,"In 1983, 8,000 males in one Kurdish village, including 315 children, were reportedly driven away in trucks.",0
104,10_8,-0.5,All vanished and left no trace.,0
105,10_9,-1.7,"Recall, also, that Iraq first used chemical weapons in its war with Iran, then last year gassed its own Kurdish citizens as well, driving thousands across the border into Turkey.",0
106,10_10,-2.05,"In its contempt for human life and pain, secular Iraq seems indistinguishable from fundamentalist Iran.",0
107,11_1,-1.25,Finding a clean patch of sand has become a real challenge on public beaches and playgrounds.,0
108,11_2,-1.25,There may be fewer smokers but they seem to leave ever more cigarette butts behind.,0
109,11_3,-1.35,"At Washington Square Park in Manhattan, for example, it's not unusual to see smokers put out their cigarettes in the same sandbox their children are playing in.",0
110,11_4,-1.3,A mother just back from Connecticut and Rhode Island reports butt-strewn conditions at parks and beaches.,0
111,11_5,-0.7,The problem challenges the ingenuity of park officials.,0
112,11_6,-0.45,Signs reminding smokers not to flick butts into sandboxes would help.,0
113,11_7,-0.6,"So would issuing tickets, like those issued to violators of New York City's ''pooper scooper'' law.",0
114,11_8,-0.65,"Public concern about foul indoor air is forcing smokers to adjust to restraints in offices, restaurants and airplanes.",0
115,11_9,0.35,A new etiquette for outdoor butt disposal ought not be far behind.,1
116,12_1,-1.15,"For tens of thousands of Manhattan-bound New Jersey commuters, morning rush hour usually means a slow crawl under the Hudson.",0
117,12_2,0.5,The New Jersey Department of Transportation sensibly proposes a second Lincoln Tunnel lane exclusively for buses.,1
118,12_3,0.0,"The existing bus lane, which operates only during peak hours, was created from one of the three outbound lanes in 1971.",1
119,12_4,-0.1,"That left inbound cars, trucks and other vehicles with three lanes.",0
120,12_5,-1.35,But the dramatic growth of tunnel traffic has produced an absurd imbalance: 80 percent of inbound commuters ride buses but only 25 percent of the tunnel's carrying capacity is reserved for them.,0
121,12_6,0.0,The proposal to use one of the three inbound lanes would increase the figure to 50 percent.,1
122,12_7,0.65,"By reducing access of passenger cars and trucks to Manhattan, the second bus lane may also discourage some of the traffic that now clogs midtown streets and adds to New York's air pollution problem.",1
123,12_8,-1.05,Automobile commuters and trucking concerns will no doubt oppose the second bus lane.,0
124,12_9,0.65,Bus commuters have the stronger case.,1
125,13_1,0.5,Legislation on bias-related crime ought to be easy to pass: Who could oppose measures to curb violence based on prejudice?,1
126,13_2,0.4,"Governor Cuomo's bill, now before the State Legislature, was inspired by the Howard Beach incident and introduced five months ago.",1
127,13_3,0.5,It would stiffen criminal penalties for such acts.,1
128,13_4,-0.2,"That seems sensible, but the measure has encountered opposition on two grounds.",0
129,13_5,-0.6,"Senate leaders worry about including ''sexual orientation'' along with race, religion and other widely accepted bases for protection.",0
130,13_6,-1.55,Their objection defies reason.,0
131,13_7,0.1,Including sexual orientation hardly promotes homosexuality or any other way of life.,1
132,13_8,-0.45,The issue is protection of citizens from unprovoked physical attack.,0
133,13_9,-0.15,No New Yorker should have to worry about being set upon because of someone else's feelings about sexual orientation.,0
134,13_10,-1.3,"Substantial criticism comes from the state's district attorneys, who worry that the Cuomo bill would inadvertently erect a standard of proof that would be impossible to meet.",0
135,13_11,0.45,That issue can and should be resolved by negotiation.,1
136,14_1,0.2,Two studies published in The New England Journal of Medicine last week won't help the obese drop any pounds but the research should lift another enormous weight: guilt.,1
137,14_2,-0.45,"Much of the medical profession, and most of the public, have long assumed that the cause of unhealthy poundage was overeating.",0
138,14_3,-1.95,''I just can't seem to help gaining weight'' was simply a weak apology for a lack of self-discipline.,0
139,14_4,-0.35,The new studies report that the tendency to fat is the result of a low rate of metabolism.,0
140,14_5,-1.05,The overweight get fat more because their bodies burn calories too slowly than because they eat too much.,0
141,14_6,-0.95,"As Dr. Jules Hirsch of Rockefeller University wrote in an editorial accompanying the studies, these overweight people are ''born with a handicap.''",0
142,14_7,0.0,"Like other handicapped people, he adds, they must learn how to live with and correct for theirs.",1
143,14_8,-0.6,That doing so requires a lifelong battle won't come as news to hundreds of thousands of the overweight.,0
144,14_9,0.7,"But they can take some comfort: they no longer need to battle blame, either from others or themselves.",1
145,15_1,1.2,"Skadden, Arps, Slate, Meagher &amp;amp; Flom, the huge New York law firm, announced recently that it would create a $10 million endowment to provide public legal services.",1
146,15_2,0.9,The endowment will support up to 25 lawyers to work in poverty and public interest law offices across the country.,1
147,15_3,1.15,"That's an impressive commitment, even for a firm with 850 lawyers who charge well over $200 million in fees annually.",1
148,15_4,-1.3,It's also a reminder of the need: only a fraction of poor Americans can get help with their legal problems.,0
149,15_5,-0.75,"The role for the private bar grows with each year of the Reagan Administration, which has tried to starve the Federal Legal Services Corporation.",0
150,15_6,1.1,Lawyers as well as their clients benefit from such pro bono work.,1
151,15_7,-1.6,Serving only the affluent limits their consciousness and diminishes the practice of law as a profession.,0
152,16_1,-2.45,"Jordan Greenstein letter says it is US responsibility to help victims of violence in Sudan To the Editor: Re ''The U.N. and U.S. in Urgent Appeals to Help Refugees in Sudan'' (news article, July 29): To the Editor: Re ''The U.N. and U.S. in Urgent Appeals to Help Refugees in Sudan'' (news article, July 29): The government of Sudan has idly sat by and watched tens of thousands of its own people being killed and many raped.",0
153,16_2,-1.55,The United Nations cannot allow these crimes against humanity to continue.,0
154,16_3,-0.65,"It cannot depend on others, such as the African Union, to take care of the problem.",0
155,16_4,-1.65,"If the African Union had any intention of helping these suffering people, it would have by now.",0
156,16_5,0.25,It is time for us to take action.,1
157,16_6,1.3,Prime Minister Tony Blair was right to suggest sending troops.,1
158,16_7,0.1,"If there was ever a right time to use military force, it is now.",1
159,16_8,0.1,It is our responsibility to help before it is too late.,1
160,17_1,0.65,"With Central Park as its backyard, the Metropolitan Museum adding a garden might seem like painting the lily.",1
161,17_2,1.1,"But the Met's new rooftop of cultivation, the gift of Iris and B. Gerald Cantor, is more than a garden in a garden.",1
162,17_3,2.3,"It's a 20th-century garden, naturally fashioned of stone and steel, planted in view of New York City, the most amazing stone garden of all.",1
163,17_4,0.25,In this garden all paths lead to the wild Manhattan skyline and the bridges that loop beyond.,1
164,17_5,-0.2,Seymour Lipton's ''Catacomb'' is hollowed into the city's granite hills; David Smith's geometric planes wait to be fitted to the unfinished horizon.,0
165,17_6,-0.05,Even Louise Bourgeois's big marble ''Eyes'' are fixed upon the rising wall of midtown and the towers tumbling down Fifth Avenue.,0
166,17_7,1.4,"The garden is just right for a twilight, when the sinking sun sets the avenues afire and pinpoints of light wink from windows like a million stars.",1
167,17_8,0.75,"Amid the striving that is Manhattan's heartbeat, introspection has carved a niche.",1
168,17_9,0.2,"In its own twilight, the 20th century still searches every direction, determined to leave no stone unturned.",1
169,18_1,0.35,"New York City's Transit Authority, faced with losses on bus service, does well to re-evaluate bus routes.",1
170,18_2,-0.3,It ought not to be deterred by the initial complaints from riders fearing abandonment.,0
171,18_3,0.0,The T.A. claims bus passengers have changed their travel patterns in the last decade.,1
172,18_5,0.6,"In part, this is the result of competition for passengers offered by the T.A. 's own improving subway service.",1
173,18_7,-0.6,"But buses, especially in lightly populated areas, also face stiff competition from privately owned vans.",0
174,18_8,1.45,"They are cheaper to operate than buses, flexible in their scheduling and unburdened by costly and complex work rules.",1
175,18_9,-1.05,"The shifts, the T.A. says, have left some city bus routes impossibly underused.",0
176,18_11,0.1,The plan is to move equipment to more heavily traveled lines.,1
177,18_12,1.3,That's good management - so long as the authority gives affected riders a chance to make their case before changes are made.,1
178,18_13,-0.7,"To the extent that vans substitute for buses, there are additional issues.",0
179,18_14,0.0,"The public needs to be assured that economy is not purchased through a reduction in safety standards, comfort, insurance protection and reliability.",1
180,18_15,-0.1,The burden of proof that the route changes are necessary rests on the authority and the board of the Metropolitan Transportation Authority.,0
181,18_16,1.15,Their reasons so far seem amply justified.,1
182,19_1,1.15,Mystery fiction is to its fans what bottles are to babies: something for which they perpetually hunger.,1
183,19_2,-0.7,So they haunt bookstores with names like Foul Play and Scene of the Crime.,0
184,19_3,-0.2,They pause for a tour of airport paperbacks even while the flight attendant announces boarding.,0
185,19_4,-1.35,"And they live in fear of the day when their favorite scribbler joins Agatha and Ngaio, Dashiell and Dorothy at that great writers' convention in the sky.",0
186,19_5,0.45,"Last week 700 members of the Mystery Writers of America met in New York to talk about crime and hand out Edgars, the mystery writer's Oscars.",1
187,19_6,1.2,"The award is named after Edgar Allan Poe - ground-breaking author of ''The Purloined Letter,'' and ''The Murders in the Rue Morgue,'' and, oh yes, a poet as well.",1
188,19_7,1.15,"The Edgars go to the best in crime fiction, nonfiction, film and television.",1
189,19_8,-0.25,But if true fans had their way they'd surely go to everyone who ever dipped a pen in gore.,0
190,19_9,1.0,"Strangling, poisoning and shooting have helped many readers through many nights, and their gratitude is as boundless as the genre they adore.",1
191,20_1,-0.3,"The West wonders how long Mikhail Gorbachev and his policy of perestroika, or restructuring, will last.",0
192,20_2,0.0,"Russians ask, too, even more fervently.",1
193,20_3,-0.9,"A Ukrainian writer, Vladimir Drozd, wrote recently in Literaturnaya Gazeta about the fear that came over him as he prepared a speech in support of more reforms: ''And I thought, 'Why does it have to be me?'",0
194,20_4,-1.65,"You can understand my alarm, and even my fear.",0
195,20_5,-2.0,"Fear for myself, fear for my family.",0
196,20_6,-1.2,"Fear for all of us who can feel their hot breaths on our necks, can see their narrowed wolf-eyes -the eyes of those who do not want the perestroika.",0
197,20_10,-1.35,"''They get together every evening, sit late into the nights, cursing everything new that has come to our lives.",0
198,20_11,-1.5,Our every mistake or miscalculation gives them unbelievable pleasure - 'See what your precious reform leads to.',0
199,20_13,-0.05,"They watch all of us who speak out today in favor of renewing our society, those of us whose souls still live and who feel pain.",0
200,20_14,-0.1,"And they make lists of our names, for when their day comes round again.''",0
201,21_1,1.0,"By settling a racial discrimination lawsuit filed seven years ago by a black agent against the Federal Bureau of Investigation, Director William Sessions reaffirms his commitment to transform the bureau's culture of minority exclusion.",1
202,21_2,-1.2,"The agent, Donald Rochon, first complained about racial harassment while serving in the Omaha office.",0
203,21_3,0.15,The charges were upheld by the Justice Department and the Equal Employment Opportunity Commission.,1
204,21_4,-1.45,"In one incident, Mr. Rochon found an ape's head pasted over a photograph of his son on his desk.",0
205,21_5,-1.75,"He said that when he was transferred to Chicago in 1984, fellow agents retaliated for similar complaints of his with death threats.",0
206,21_6,0.9,"The 40-year-old agent, who is to retire, will receive payments eventually worth more than $1 million, including a full pension.",1
207,21_7,-0.35,But Mr. Sessions has more work to do.,0
208,21_9,-1.0,"In 1988 a Federal judge found gross discrimination against Hispanic agents; that case needs to be settled, too.",0
209,21_10,-0.9,Americans cannot have full confidence in the F.B.I.'s will to enforce civil rights until it makes clearer its own respect for equal treatment.,0
210,22_1,-0.5,"To some it is a redundancy, to others a logical necessity and to still others an excrescence on higher education.",0
211,22_2,0.5,"It is called ''men's studies,'' and it is said to be enjoying growing popularity on the campus.",1
212,22_3,0.1,"According to The Washington Post, more than 200 courses are now offered at American colleges ''dealing with some aspect of the male experience.''",1
213,22_4,0.1,"There is a quarterly journal, The Men's Studies Review, and a Men's Studies Association with a membership of 150.",1
214,22_5,-0.15,The scholars talk of the need to ''break down the monolithic model of what it is to be a real man.'',0
215,22_6,-0.25,They ask such questions as ''How do these little male babies become men in our culture?'',0
216,22_7,0.25,They explore male role stereotypes and how men evolve from son to father to grandfather.,1
217,22_8,0.0,"For all that male focus, 7 of every 10 students taking men's studies courses are women.",1
218,22_9,0.05,And most of the courses are listed in catalogues under women's or gender studies.,1
219,22_10,-0.5,Male students apparently are incurious about themselves.,0
220,22_11,-0.25,Or perhaps they see men's studies as women's studies in disguise.,0
221,22_12,-0.35,"If that's the case, then what goes around has come around.",0
222,22_13,-0.6,"Women's studies, after all, began with a similar complaint: that the standard college curriculum was men's studies in disguise.",0
223,23_1,-1.0,Deep into the grimy city's bowels stride the subway riders.,0
224,23_2,-0.25,"Purses jammed under arms, tokens jammed in hands.",0
225,23_7,-0.5,Don't stand too far aside to let people off - you'll miss the seat.,0
226,23_8,-0.1,So goes the routine.,0
227,23_9,0.1,"Now and again, something different happens.",1
228,23_13,1.85,''Jesus saves!'',1
229,23_15,1.1,"Or, at Times Square, as the shuttle from Grand Central screeches in, a busker sings out in a sweet, clear soprano:  Someone's head resting on my  knee; Warm and tender as he can be, Who takes good care of me.",1
230,23_18,1.15,"Oh, wouldn't it be loverly?",1
231,23_19,0.45,Jaws relax.,1
232,23_20,1.65,What a song for the subway!,1
233,23_21,-0.05,The doors close.,0
234,23_22,1.95,The riders smile. Loverly.,1
235,24_1,0.35,"On a recent autumn afternoon in New York, a painter stood before the easel he'd set up on Avenue of the Americas, staring intently at the building across the street.",1
236,24_2,0.15,"Every minute or so he'd bend his head, lift his hand and apply brush to canvas.",1
237,24_3,-0.15,Then he'd resume staring.,0
238,24_4,-0.75,"The building, a nondescript high-rise, had a novelty store on its ground floor, a coat of grime on its bricks and a few scraggly trees out front.",0
239,24_5,0.75,"It was a scene only Edward Hopper could have loved, which is why a passer-by paused to see what the artist was making of it.",1
240,24_6,-0.5,He was making nothing of it.,0
241,24_7,0.2,"The picture on the easel was a landscape - a grassy field, a clear blue sky and four or five poplars in spring leaf.",1
242,24_8,-0.05,"Avenue of the Americas, it seemed, was his studio, and his subject existed only in his mind's eye.",0
243,24_9,-0.5,"But why the stare, the squint, the occasional cock of the head?",0
244,24_10,-0.7,Is it possible that his country view was occasionally obscured by the roaring traffic?,0
245,24_11,0.15,Or perhaps all that body language was a way of proclaiming to the passing public that here was an Artist at Work.,1
246,25_1,0.3,"Until he was 3, Michael Bennett DiFiglia was probably much like any other small boy.",1
247,25_2,1.75,"Then he took his first dancing lesson, and an astonishing man of the theater, Michael Bennett, was born.",1
248,25_3,1.35,"What he knew about his craft, which was just about everything, he learned on stage.",1
249,25_4,1.4,"At 16 he was a chorus boy; by 23 he was a choreographer; and by the age of 32 he had dreamed up and directed the longest-running musical in Broadway history, ''A Chorus Line.''",1
250,25_5,1.75,"When it achieved that distinction, Broadway gave a marvelous party.",1
251,25_6,0.5,"The Booth Theater became an enormous dressing room; Shubert Alley, an outdoor restaurant, and the Shubert Theater, host to the biggest production of ''A Chorus Line'' ever.",1
252,25_7,2.0,"More than 300 of the performers who'd doffed their gold toppers to audiences all over the world were there, filling the stage - and the aisles - and evoking every dream anyone ever had about the theater.",1
253,25_8,1.35,"If that night celebrated ''A Chorus Line,'' it also honored its creator.",1
254,25_9,2.1,"He was, in the words of the show's great kick-line finale, ''One, singular sensation.''",1
255,25_10,-1.5,Michael Bennett died yesterday at 44.,0
256,25_11,2.0,"But in so little time, what marvels he had made.",1
257,26_1,1.4,A Congress more conscious of public health and nutrition is finally moving to toughen food labeling rules.,1
258,26_2,0.65,Legislation just approved by a House Energy and Commerce subcommittee would require more explicit nutrition information on package labels.,1
259,26_3,-1.05,But the bill would still permit misleading nutrition claims on packages.,0
260,26_4,1.2,"The measure, sponsored by Representative Henry Waxman, would require uniform listing of saturated fat, cholesterol and fiber on almost all packaged foods, a big advance.",1
261,26_5,-1.1,But amendments pressed by the food industry leave room for confusion.,0
262,26_6,-0.7,"For example, manufacturers could still label as ''dietary'' frozen dinners that contain excessive fat.",0
263,26_7,-0.6,Supporters of the provision say Congress shouldn't be in the business of dictating brand names and package copy.,0
264,26_8,0.8,But tighter regulation would more likely encourage companies to improve their ingredients.,1
265,26_9,0.1,There's still time for the full House committee to close loopholes that threaten public health.,1
266,27_1,0.55,"Plymouth, Mass. -- ""America's home town"" -- has had Fourth of July band music as long as anyone remembers.",1
267,27_3,-1.2,But the recession made it harder to find sponsors this year.,0
268,27_4,0.55,"Enter Kao Infosystems, which makes floppy disks for computers -- and friends for Japan.",1
269,27_9,-0.05,"Kao landed in Plymouth in 1989 from Tokyo, and claims to be at least as American as those who landed in 1620.",0
270,27_10,0.3,"As evidence, it is paying for six hours of bluegrass, country-and-western and old-fashioned band music today just a stone's throw from the famous rock.",1
271,27_11,1.1,"It also has a float in the parade, offering out balloons and candy.",1
272,27_12,0.05,"East may be east and west may be west, but today the twain meet in Plymouth.",1
273,28_1,1.4,"It took eight years, but there's finally a President in the White House who understands about trees.",1
274,28_2,0.75,"Unless someone is foolish enough to burn them, as Brazilians do, trees are powerful natural detergents, cleaning the air as they breathe.",1
275,28_3,-0.35,That's not the way Ronald Reagan saw it.,0
276,28_4,-0.35,"During the 1980 campaign, he asserted that trees caused 93 percent of the nitrogen oxides in the atmosphere.",0
277,28_5,-0.65,"When the campaign plane flew over a forest, Jim Brady, the press secretary, shouted: ''Killer trees!",0
278,28_6,-1.45,Killer trees!'',0
279,28_7,-0.95,"Mr. Reagan apparently confused nitrous oxide, which comes from decaying plants and isn't harmful, with nitrogen oxides, which are serious pollutants.",0
280,28_8,-0.7,Mr. Bush knows better.,0
281,28_9,1.55,"In Sioux Falls, S.D., this week he praised trees as ''the oldest, cheapest and most efficient air purifier on earth.''",1
282,28_10,0.2,"That's because growing trees convert carbon dioxide, which contributes to global warming - the greenhouse effect - into oxygen.",1
283,28_11,1.15,"Mr. Bush said most Presidents appreciated trees, noting that oaks planted by Dwight D. Eisenhower and elms brought by John Quincy Adams sheltered the White House grounds.",1
284,28_12,0.1,"Indeed, Adams chose the Latin words ''Alteri seculo'' for his seal.",1
285,28_13,1.05,They are from a longer phrase that aptly conveys the truth about trees: ''Serit arbores quae alteri seculo prosint'' - ''He plants trees for the benefit of later generations.'',1
286,29_1,0.3,"Recently, a New Yorker with a modest knowledge of folk art bought a small Shaker rug from a street peddler.",1
287,29_2,-0.55,"At least the peddler said it was an authentic Shaker, and the purchaser was only too willing to take him at his word.",0
288,29_3,-0.55,"Who, she asked herself, would bother to fake a Shaker rug?",0
289,29_4,0.45,"Now she knows, thanks to a show called Folk Art Fakes and Forgeries, at New York's Hirschl &amp;amp; Adler gallery.",1
